cruise,cast,niskin,date_time_utc,latitude,longitude,depth,replicate,POC_micromolar,PON_micromolar,POC_microg_perL,PON_microg_perL,C_to_N_molar_ratio,C_quality_flag,N_quality_flag
AR39B,1,2,2019-10-05 22:38:55+00:00,41.1955,-70.8847,19.2,a,17.262,2.703,207.323,37.854,6.387,1,1
AR39B,12,11,2019-10-08 02:44:02+00:00,40.0952,-70.888,46.11,a,4.86,0.667,58.377,9.338,7.29,1,1
AR31A,1,7,2018-10-21 07:57:58+00:00,40.3615,-70.8813,29.64,a,16.459,2.256,197.689,31.593,7.297,1,1
EN649,1,2,2020-02-01 18:11:36+00:00,41.2044,-70.8847,18.04,a,15.159,2.399,182.07,33.598,6.32,1,1
EN649,1,7,2020-02-01 18:14:30+00:00,41.2042,-70.8856,10.13,a,14.364,NaN,172.525,NaN,NaN,3,4
EN649,1,13,2020-02-01 18:17:19+00:00,41.2041,-70.8864,3.42,a,18.638,3.274,223.857,45.852,5.693,1,1
EN649,2,1,2020-02-01 23:01:53+00:00,41.3196,-70.5748,14.91,a,20.911,2.842,251.154,39.811,7.357,1,1
EN649,2,1,2020-02-01 23:01:53+00:00,41.3196,-70.5748,14.91,b,22.682,2.949,272.43,41.309,7.691,1,1
EN649,2,3,2020-02-01 23:04:33+00:00,41.3197,-70.5753,8.08,a,24.721,2.758,296.914,38.624,8.965,1,1
EN649,2,6,2020-02-01 23:07:03+00:00,41.3198,-70.5758,3.08,a,18.273,2.386,219.466,33.425,7.657,1,1
EN649,5,3,2020-02-02 08:41:48+00:00,41.0297,-70.8846,33.83,a,12.542,2.468,150.636,34.567,5.082,1,1
EN649,5,12,2020-02-02 08:48:38+00:00,41.0301,-70.8853,3.5,a,NaN,NaN,NaN,NaN,NaN,9,9
EN649,6,3,2020-02-02 12:16:31+00:00,40.863,-70.8857,29.92,a,8.767,1.87,105.296,26.198,4.687,1,1
EN649,6,9,2020-02-02 12:22:28+00:00,40.8626,-70.8859,4.24,a,8.065,NaN,96.864,NaN,NaN,3,4
EN649,7,11,2020-02-02 22:42:19+00:00,40.2229,-70.8885,50.02,a,5.695,1.24,68.402,17.367,4.593,1,1
EN649,7,11,2020-02-02 22:42:19+00:00,40.2229,-70.8885,50.02,b,4.321,1.164,51.893,16.297,3.713,1,1
EN649,7,16,2020-02-02 22:49:18+00:00,40.2222,-70.8909,5.36,a,6.229,1.434,74.818,20.081,4.345,1,1
EN649,8,6,2020-02-03 01:11:28+00:00,40.1279,-70.7966,70.65,a,1.557,0.526,18.703,7.367,2.961,1,1
EN649,8,6,2020-02-03 01:11:28+00:00,40.1279,-70.7966,70.65,b,0.796,0,9.564,0,NaN,1,6
EN649,8,12,2020-02-03 01:17:25+00:00,40.1265,-70.799,28.99,a,6.766,1.533,81.265,21.473,4.413,1,1
EN649,8,18,2020-02-03 01:21:16+00:00,40.1254,-70.8005,3.07,a,6.13,1.294,73.623,18.124,4.737,1,1
EN649,11,7,2020-02-03 09:02:16+00:00,40.0935,-70.9021,80.49,a,2.044,0.642,24.548,8.986,3.186,1,1
EN649,11,15,2020-02-03 09:13:21+00:00,40.0922,-70.9096,4.32,a,5.803,NaN,69.695,NaN,NaN,3,4
EN649,12,10,2020-02-03 17:38:33+00:00,39.9387,-70.8972,44.72,a,2.702,0.664,32.452,9.298,4.07,1,1
EN649,12,15,2020-02-03 17:43:15+00:00,39.9382,-70.8996,17.53,a,2.467,0.627,29.628,8.778,3.936,1,1
EN649,12,19,2020-02-03 17:45:20+00:00,39.938,-70.9002,4.91,a,3.176,0.766,38.148,10.735,4.144,1,1
EN649,16,13,2020-02-04 12:54:22+00:00,39.7715,-70.8834,34.79,a,2.757,0.647,33.118,9.066,4.26,1,1
EN649,16,21,2020-02-04 13:00:46+00:00,39.7713,-70.8844,3.75,a,5.495,1.063,66,14.885,5.171,1,1
EN649,19,14,2020-02-05 04:01:06+00:00,40.349,-70.883,14.9,a,6.565,1.236,78.844,17.317,5.31,1,1
EN649,19,19,2020-02-05 04:03:40+00:00,40.3486,-70.8829,3.81,a,7.966,1.752,95.673,24.533,4.548,1,1
EN649,20,12,2020-02-05 07:21:36+00:00,40.5092,-70.8783,15.32,a,7.446,0.954,89.426,13.366,7.802,1,1
EN649,20,12,2020-02-05 07:21:36+00:00,40.5092,-70.8783,15.32,b,6.616,0.89,79.463,12.473,7.43,1,1
EN649,20,14,2020-02-05 07:24:02+00:00,40.5093,-70.8781,3.68,a,8.008,1.48,96.181,20.731,5.41,1,1
EN649,21,5,2020-02-05 10:12:39+00:00,40.6995,-70.8829,37.49,a,9.573,1.893,114.984,26.511,5.058,1,1
EN649,21,12,2020-02-05 10:18:46+00:00,40.7007,-70.8831,15.42,a,11.003,1.595,132.151,22.342,6.898,1,1
EN649,21,18,2020-02-05 10:22:17+00:00,40.7012,-70.8835,2.62,a,11.062,1.796,132.865,25.15,6.161,1,1
EN655,1,5,2020-07-25 15:51:44+00:00,41.2031,-70.8803,18.24,a,19.879,2.953,238.756,41.357,6.732,1,1
EN655,1,7,2020-07-25 15:53:47+00:00,41.2026,-70.8802,12.47,a,21.764,2.877,261.399,40.294,7.565,1,1
EN655,1,16,2020-07-25 15:57:44+00:00,41.2024,-70.8804,2.33,a,12.725,1.651,152.833,23.125,7.707,1,1
EN655,2,7,2020-07-25 18:05:44+00:00,41.0304,-70.878,20.37,a,37.909,4.766,455.312,66.75,7.955,1,1
EN655,2,15,2020-07-25 18:09:45+00:00,41.0304,-70.877,2.46,a,13.047,1.504,156.708,21.067,8.675,1,1
EN655,3,5,2020-07-25 21:46:27+00:00,40.8577,-70.8818,25.28,a,17.011,3.156,204.316,44.204,5.39,1,1
EN655,3,5,2020-07-25 21:46:27+00:00,40.8577,-70.8818,25.28,b,16.777,2.798,201.5,39.185,5.997,1,1
EN655,3,19,2020-07-25 21:57:34+00:00,40.8528,-70.8817,1.85,a,13.655,1.532,164.008,21.46,8.912,1,1
EN655,7,7,2020-07-26 11:23:08+00:00,40.6912,-70.8796,35.05,a,8.969,1.198,107.73,16.781,7.487,1,1
EN655,7,9,2020-07-26 11:25:39+00:00,40.6906,-70.8796,23.26,a,13.158,2.136,158.035,29.918,6.16,1,1
EN655,7,18,2020-07-26 11:31:26+00:00,40.6891,-70.8794,1.79,a,10.803,2.008,129.756,28.123,5.381,1,1
EN655,10,7,2020-07-26 19:17:34+00:00,40.5094,-70.8775,33.09,a,11.517,1.919,138.329,26.874,6.003,1,1
EN655,10,16,2020-07-26 19:24:45+00:00,40.5072,-70.8763,1.43,a,9.666,1.217,116.089,17.046,7.942,1,1
EN655,11,11,2020-07-27 01:42:11+00:00,40.2218,-70.8758,22.09,a,13.88,1.954,166.706,27.371,7.103,1,1
EN655,11,17,2020-07-27 01:45:38+00:00,40.2212,-70.8749,2.83,a,4.339,0.53,52.111,7.418,8.192,1,1
EN655,12,8,2020-07-27 10:44:21+00:00,39.9265,-70.89,49.89,a,6.097,0.623,73.229,8.733,9.779,1,1
EN655,12,18,2020-07-27 10:51:57+00:00,39.9243,-70.892,2.54,a,2.804,0.496,33.684,6.953,5.65,1,1
EN655,12,16,2020-07-27 10:49:38+00:00,39.925,-70.8913,12.94,a,5.009,0.719,60.159,10.076,6.963,1,1
EN655,15,9,2020-07-27 21:31:28+00:00,40.0963,-70.8816,44.98,a,8.626,1.493,103.606,20.907,5.779,1,1
EN655,15,22,2020-07-27 21:40:29+00:00,40.0947,-70.8822,1.8,a,4.538,0.874,54.501,12.244,5.191,1,1
EN655,16,7,2020-07-28 02:05:17+00:00,40.3666,-70.871,34.43,a,10.231,1.509,122.887,21.13,6.782,1,1
EN655,16,17,2020-07-28 02:10:01+00:00,40.3663,-70.8694,1.72,a,7.303,0.578,87.719,8.096,12.636,1,1
EN657,1,2,2020-10-13 17:57:40+00:00,41.2028,-70.8774,18.67,a,13.976,2.367,167.858,33.16,5.903,1,1
EN657,1,8,2020-10-13 18:01:38+00:00,41.203,-70.8763,9.6,a,14.1,2.245,169.347,31.448,6.28,1,1
EN657,1,22,2020-10-13 18:06:02+00:00,41.2031,-70.875,2.68,a,15.756,2.694,189.24,37.733,5.849,1,1
EN657,2,6,2020-10-14 00:14:19+00:00,40.8603,-70.8791,30.54,a,12.576,2.344,151.052,32.834,5.365,1,1
EN657,2,12,2020-10-14 00:18:34+00:00,40.8594,-70.8784,2.48,a,9.337,1.812,112.138,25.374,5.154,1,1
EN657,5,5,2020-10-14 13:16:09+00:00,41.0293,-70.8842,35.1,a,12.546,2.391,150.681,33.495,5.246,1,1
EN657,5,9,2020-10-14 13:19:19+00:00,41.0293,-70.8843,20.3,a,13.497,2.021,162.104,28.302,6.68,1,1
EN657,5,14,2020-10-14 13:21:44+00:00,41.0294,-70.8843,4.11,a,11.277,2.052,135.441,28.737,5.496,1,1
EN657,6,8,2020-10-14 18:38:06+00:00,40.696,-70.8926,32.91,a,10.42,1.829,125.156,25.624,5.696,1,1
EN657,6,13,2020-10-14 18:41:29+00:00,40.6957,-70.8937,20.19,a,7.719,1.53,92.714,21.427,5.046,1,1
EN657,6,17,2020-10-14 18:43:49+00:00,40.6956,-70.8944,2.25,a,10.776,1.86,129.424,26.058,5.792,1,1
EN657,6,17,2020-10-14 18:43:49+00:00,40.6956,-70.8944,2.25,b,10.772,1.559,129.382,21.838,6.909,1,1
EN657,7,6,2020-10-14 23:28:06+00:00,40.5156,-70.8852,22.24,a,8.127,0.963,97.606,13.482,8.443,1,1
EN657,7,12,2020-10-14 23:33:02+00:00,40.5155,-70.8859,2.54,a,11.126,2.022,133.626,28.315,5.503,1,1
EN657,9,10,2020-10-15 08:17:10+00:00,39.9328,-70.878,60.27,a,1.052,0.648,12.633,9.072,1.624,1,1
EN657,9,11,2020-10-15 08:19:44+00:00,39.9326,-70.878,44.86,a,2.165,0.925,26.007,12.952,2.342,1,1
EN657,9,18,2020-10-15 08:25:22+00:00,39.9322,-70.8779,2.35,a,1.107,0,13.3,0,NaN,1,6
EN657,12,8,2020-10-15 16:49:33+00:00,39.7693,-70.8773,35.65,a,6.005,1.008,72.127,14.116,5.959,1,1
EN657,12,13,2020-10-15 16:52:26+00:00,39.7689,-70.8767,25.47,a,6.338,1.011,76.13,14.157,6.271,1,1
EN657,12,13,2020-10-15 16:52:26+00:00,39.7689,-70.8767,25.47,b,5.571,0.983,66.906,13.764,5.669,1,1
EN657,12,18,2020-10-15 16:55:49+00:00,39.7686,-70.8761,3.25,a,4.42,0.788,53.088,11.038,5.609,1,1
EN657,14,11,2020-10-16 09:57:28+00:00,40.1024,-70.8823,59.86,a,2.06,0,24.748,0,NaN,1,6
EN657,14,16,2020-10-16 10:02:36+00:00,40.1018,-70.882,2.37,a,3.072,0.758,36.892,10.612,4.054,1,1
EN657,15,11,2020-10-16 11:57:22+00:00,40.1298,-70.7688,50.02,a,2.55,0,30.623,0,NaN,1,6
EN657,15,14,2020-10-16 12:00:46+00:00,40.1294,-70.7682,25.43,a,5.09,1.135,61.132,15.902,4.483,1,1
EN657,15,18,2020-10-16 12:03:48+00:00,40.1291,-70.7676,3.21,a,3.777,0,45.361,0,NaN,1,6
EN657,17,13,2020-10-17 00:05:39+00:00,40.3599,-70.8884,38.34,a,5.437,0.83,65.299,11.62,6.553,1,1
EN657,17,18,2020-10-17 00:10:58+00:00,40.3602,-70.8888,3.67,a,5.532,0.854,66.446,11.966,6.476,1,1
EN657,19,11,2020-10-17 05:51:22+00:00,40.2233,-70.8675,20.27,a,3.675,0.666,44.134,9.322,5.521,1,1
EN657,19,15,2020-10-17 05:54:38+00:00,40.2232,-70.8663,4.96,a,5.16,1.079,61.978,15.112,4.783,1,1
EN657,20,2,2020-10-18 01:50:13+00:00,41.3204,-70.5782,15.74,a,20.514,3.274,246.382,45.858,6.266,1,1
EN657,20,4,2020-10-18 01:52:15+00:00,41.3206,-70.5782,8.27,a,21.708,3.563,260.729,49.909,6.092,1,1
EN657,20,7,2020-10-18 01:54:17+00:00,41.3206,-70.5781,2,a,19.98,3.489,239.98,48.874,5.726,1,1
EN661,1,2,2021-02-03 18:57:29+00:00,41.1984,-70.8796,17.37,a,31.13,4.364,373.889,61.126,7.133,1,1
EN661,1,9,2021-02-03 19:02:39+00:00,41.1971,-70.8783,11.03,a,31.984,4.194,384.147,58.751,7.625,1,1
EN661,1,15,2021-02-03 19:06:05+00:00,41.1961,-70.8774,0.79,a,32.061,4.303,385.079,60.265,7.452,1,1
EN661,2,7,2021-02-04 01:59:01+00:00,41.0306,-70.8884,24.55,a,21.482,3.114,258.013,43.621,6.898,1,1
EN661,2,16,2021-02-04 02:03:42+00:00,41.0309,-70.8889,3.39,a,18.97,2.872,227.841,40.222,6.606,1,1
EN661,5,6,2021-02-04 13:06:38+00:00,40.6969,-70.8864,28.4,a,14.696,NaN,176.511,NaN,NaN,1,4
EN661,5,11,2021-02-04 13:09:13+00:00,40.6966,-70.8871,15.47,a,15.436,2.568,185.394,35.968,6.011,1,1
EN661,5,23,2021-02-04 13:12:15+00:00,40.6963,-70.8879,2.43,a,16.991,2.93,204.076,41.044,5.798,1,1
EN661,6,6,2021-02-04 15:55:47+00:00,40.5134,-70.8874,30.15,a,9.687,1.832,116.344,25.664,5.287,1,1
EN661,6,12,2021-02-04 15:59:38+00:00,40.5137,-70.8889,1.87,a,9.713,1.824,116.665,25.544,5.326,1,1
EN661,7,8,2021-02-05 01:16:32+00:00,39.9407,-70.9029,86.23,a,4.814,0.61,57.822,8.544,7.892,1,1
EN661,7,15,2021-02-05 01:21:58+00:00,39.9409,-70.9057,25.93,a,5.872,0.941,70.526,13.182,6.239,1,1
EN661,7,18,2021-02-05 01:24:29+00:00,39.9411,-70.907,4.4,a,5.777,1.04,69.388,14.57,5.554,1,1
EN661,10,8,2021-02-05 13:40:43+00:00,39.7708,-70.8737,39.77,a,4.831,0.978,58.023,13.697,4.94,1,1
EN661,10,18,2021-02-05 13:44:51+00:00,39.7705,-70.8728,2.23,a,3.526,0.616,42.348,8.635,5.72,1,1
EN661,12,6,2021-02-06 16:19:18+00:00,40.8611,-70.8827,20.47,a,16.106,2.609,193.448,36.549,6.172,1,1
EN661,12,13,2021-02-06 16:23:06+00:00,40.86,-70.8832,2.09,a,14.503,2.364,174.189,33.111,6.135,1,1
EN661,14,2,2021-02-07 00:44:07+00:00,41.3196,-70.5767,13.74,a,34.831,4.217,418.343,59.066,8.26,1,1
EN661,14,4,2021-02-07 00:45:46+00:00,41.3194,-70.5769,8.05,a,44.193,5.534,530.789,77.515,7.986,1,1
EN661,14,7,2021-02-07 00:47:53+00:00,41.319,-70.5771,2.48,a,35.162,4.329,422.321,60.64,8.122,1,1
EN668,1,4,2021-07-16 18:15:36+00:00,41.1958,-70.884,14.06,a,29.354,3.364,352.559,47.114,8.727,1,1
EN668,1,11,2021-07-16 18:18:53+00:00,41.1952,-70.8836,10.4,a,33.611,3.665,403.697,51.329,9.172,1,1
EN668,1,15,2021-07-16 18:22:10+00:00,41.1946,-70.8831,4.07,a,21.845,1.722,262.369,24.114,12.688,1,1
EN668,1,15,2021-07-16 18:22:10+00:00,41.1946,-70.8831,4.07,b,23.894,2.063,286.978,28.899,11.581,1,1
EN668,2,7,2021-07-17 04:39:12+00:00,41.0314,-70.8799,21.19,a,18.877,2.646,226.724,37.059,7.135,1,1
EN668,2,17,2021-07-17 04:44:57+00:00,41.0313,-70.8793,2.82,a,18.496,0,222.145,0,NaN,1,6
EN668,5,9,2021-07-17 13:30:56+00:00,40.6937,-70.8789,30.29,a,25.782,3.637,309.654,50.944,7.088,3,1
EN668,5,14,2021-07-17 13:33:32+00:00,40.6935,-70.8785,17.4,a,12.089,1.532,145.202,21.465,7.889,1,1
EN668,5,18,2021-07-17 13:35:54+00:00,40.6934,-70.8782,4.58,a,10.829,2.317,130.059,32.46,4.673,1,1
EN668,7,9,2021-07-17 22:06:04+00:00,40.5153,-70.8801,30.2,a,15.909,2.059,191.073,28.836,7.727,1,1
EN668,7,9,2021-07-17 22:06:04+00:00,40.5153,-70.8801,30.2,b,15.438,2.306,185.427,32.305,6.694,1,1
EN668,7,16,2021-07-17 22:10:13+00:00,40.5155,-70.8797,4.13,a,4.142,0.288,49.752,4.033,14.386,1,3
EN668,8,8,2021-07-18 07:49:42+00:00,39.9206,-70.9019,68.61,a,2.034,0.103,24.43,1.447,19.691,1,3
EN668,8,15,2021-07-18 07:57:55+00:00,39.9187,-70.9005,29.46,a,9.048,1.239,108.668,17.349,7.305,1,1
EN668,8,21,2021-07-18 08:02:00+00:00,39.9178,-70.8996,4.25,a,4.229,0.553,50.797,7.749,7.645,1,1
EN668,11,7,2021-07-18 16:45:51+00:00,39.7689,-70.8789,36.31,a,5.66,0.461,67.979,6.461,12.27,1,1
EN668,11,13,2021-07-18 16:51:55+00:00,39.7676,-70.8785,13.12,a,5.694,0.665,68.394,9.309,8.568,1,1
EN668,11,18,2021-07-18 16:54:20+00:00,39.7673,-70.8783,4.74,a,4.447,0.46,53.41,6.437,9.676,1,1
EN668,14,7,2021-07-19 13:59:36+00:00,40.0987,-70.8841,52.28,a,7.065,0.51,84.856,7.146,13.848,1,1
EN668,14,14,2021-07-19 14:04:09+00:00,40.099,-70.8838,32.95,a,8.529,0.619,102.444,8.675,13.772,1,1
EN668,14,20,2021-07-19 14:09:24+00:00,40.0994,-70.8837,4.33,a,3.538,0.059,42.489,0.83,59.678,1,3
EN668,15,8,2021-07-19 17:05:29+00:00,40.1263,-70.7676,37.96,a,5.561,0.426,66.793,5.965,13.058,1,1
EN668,15,14,2021-07-19 17:12:16+00:00,40.1248,-70.767,13.79,a,5.365,0.367,64.439,5.136,14.633,1,1
EN668,15,18,2021-07-19 17:16:16+00:00,40.1239,-70.7667,4.28,a,3.645,0,43.777,0,NaN,1,3
EN668,15,18,2021-07-19 17:16:16+00:00,40.1239,-70.7667,4.28,b,4.574,0.11,54.934,1.536,41.719,1,3
EN668,17,6,2021-07-20 06:16:08+00:00,40.2157,-70.9024,62.35,a,4.02,NaN,48.283,NaN,NaN,1,4
EN668,17,12,2021-07-20 06:24:49+00:00,40.2143,-70.9061,41.77,a,10.661,1.2,128.041,16.813,8.881,1,1
EN668,17,22,2021-07-20 06:36:22+00:00,40.2128,-70.9118,4.41,a,3.392,0,40.735,0,NaN,1,6
EN668,18,10,2021-07-20 09:43:33+00:00,40.3682,-70.8929,30.88,a,16.411,2.279,197.109,31.928,7.2,1,1
EN668,18,14,2021-07-20 09:46:06+00:00,40.3686,-70.8933,17.98,a,10.45,1.552,125.508,21.737,6.733,1,1
EN668,18,18,2021-07-20 09:49:12+00:00,40.3691,-70.8939,3.82,a,4.653,0.804,55.882,11.266,5.785,1,1
EN668,20,1,2021-07-20 14:53:26+00:00,40.3613,-70.997,49.36,a,23.005,3.115,276.311,43.63,7.386,1,1
EN668,20,16,2021-07-20 15:01:16+00:00,40.3604,-70.9974,3.84,a,3.449,0,41.43,0,NaN,1,6
EN668,21,11,2021-07-21 02:22:58+00:00,40.8604,-70.8849,26.07,a,18.212,2.623,218.74,36.745,6.942,1,1
EN668,21,21,2021-07-21 02:28:23+00:00,40.86,-70.8844,3.87,a,6.091,0.213,73.153,2.978,28.643,3,3
EN668,25,2,2021-07-21 11:09:04+00:00,41.3176,-70.5786,15.86,a,30.027,4.322,360.646,60.539,6.947,1,1
EN668,25,5,2021-07-21 11:10:46+00:00,41.3175,-70.5784,10.32,a,28.598,3.539,343.486,49.566,8.082,1,1
EN668,25,14,2021-07-21 11:13:10+00:00,41.3174,-70.5781,4.08,a,31.569,3.946,379.162,55.268,8,1,1
AR61B,1,3,2021-11-08 20:20:26+00:00,41.1963,-70.8833,13.06,a,27.864,4.357,334.666,61.034,6.395,1,1
AR61B,1,6,2021-11-08 20:22:42+00:00,41.1963,-70.8833,3.64,a,21.249,3.257,255.216,45.618,6.524,1,1
AR61B,2,8,2021-11-08 21:56:39+00:00,41.0287,-70.8872,16.01,a,20.596,3.41,247.372,47.764,6.04,1,1
AR61B,2,12,2021-11-08 21:59:30+00:00,41.0287,-70.8872,4.07,a,17.037,2.77,204.629,38.792,6.152,1,1
AR61B,3,9,2021-11-09 00:01:55+00:00,40.8642,-70.8835,17.87,a,19.112,3.061,229.554,42.881,6.243,1,1
AR61B,3,11,2021-11-09 00:04:06+00:00,40.8642,-70.8835,3.56,a,20.243,3.027,243.129,42.395,6.688,1,1
AR61B,4,12,2021-11-09 02:13:38+00:00,40.6965,-70.8835,23.71,a,15.874,NaN,190.655,NaN,NaN,1,4
AR61B,4,16,2021-11-09 02:17:04+00:00,40.6965,-70.8835,4.35,a,14.543,2.714,174.669,38.014,5.358,1,1
AR61B,6,7,2021-11-09 05:09:28+00:00,40.5132,-70.8835,43.26,a,13.658,3.622,164.037,50.734,3.771,1,1
AR61B,6,12,2021-11-09 05:14:49+00:00,40.5132,-70.8835,3.73,a,13.312,2.599,159.891,36.4,5.123,1,1
AR61B,7,22,2021-11-09 16:37:05+00:00,39.9398,-70.8835,7.02,a,5.689,1.124,68.323,15.741,5.062,1,1
AR61B,9,16,2021-11-10 03:20:33+00:00,39.7733,-70.8822,15.88,a,6.768,1.463,81.286,20.496,4.625,1,1
AR61B,9,20,2021-11-10 03:22:36+00:00,39.7733,-70.8822,3.61,a,7.124,1.466,85.563,20.527,4.861,1,1
AR61B,11,15,2021-11-10 14:02:55+00:00,40.098,-70.883,40.51,a,3.94,0.898,47.323,12.582,4.386,1,1
AR61B,11,20,2021-11-10 14:07:47+00:00,40.098,-70.883,6.99,a,5.624,1.463,67.543,20.497,3.843,1,1
AR61B,12,14,2021-11-10 21:29:44+00:00,40.1363,-70.7757,25.34,a,4.551,1.02,54.66,14.288,4.461,1,1
AR61B,12,21,2021-11-10 21:35:27+00:00,40.1363,-70.7757,6.99,a,16.087,2.14,193.212,29.979,7.516,1,1
AR61B,18,14,2021-11-11 14:12:47+00:00,40.3637,-70.883,25.28,a,19.237,3.113,231.055,43.599,6.18,1,1
AR61B,18,19,2021-11-11 14:15:27+00:00,40.3637,-70.883,6.51,a,18.439,2.784,221.47,38.994,6.623,1,1
AR61B,32,15,2021-11-14 17:54:55+00:00,40.227,-70.883,24.98,a,12.46,2.415,149.649,33.824,5.16,1,1
AR61B,32,18,2021-11-14 17:57:35+00:00,40.227,-70.883,7.12,a,16.141,2.527,193.865,35.391,6.388,1,1
AT46,1,2,2022-02-16 18:29:56+00:00,41.1969,-70.883,17.91,a,15.231,2.533,182.931,35.48,6.013,1,1
AT46,1,13,2022-02-16 18:35:38+00:00,41.1966,-70.8828,2.06,a,16.66,2.855,200.098,39.982,5.836,1,1
AT46,2,2,2022-02-17 02:32:13+00:00,40.6969,-70.8819,59.85,a,9.253,2.147,111.135,30.07,4.31,1,1
AT46,2,8,2022-02-17 02:38:14+00:00,40.6968,-70.8817,38.23,a,12.311,2.291,147.862,32.087,5.374,1,1
AT46,2,19,2022-02-17 02:45:33+00:00,40.6974,-70.8813,2.49,a,13.677,2.195,164.268,30.741,6.232,1,1
AT46,3,4,2022-02-17 05:27:48+00:00,40.5141,-70.8818,55.5,a,9.994,1.874,120.036,26.246,5.334,1,1
AT46,3,13,2022-02-17 05:40:37+00:00,40.5141,-70.8807,3.14,a,9.251,1.597,111.115,22.362,5.795,1,1
AT46,6,13,2022-02-17 13:23:09+00:00,40.3635,-70.8812,21.97,a,9.075,1.636,108.997,22.916,5.547,1,1
AT46,6,18,2022-02-17 13:26:54+00:00,40.3634,-70.8812,2.94,a,7.996,1.117,96.04,15.647,7.158,1,1
AT46,7,1,2022-02-17 21:36:47+00:00,39.7727,-70.8816,496.17,a,-0.835,0.06,-10.023,0.843,-13.867,6,1
AT46,7,4,2022-02-17 21:59:44+00:00,39.7726,-70.8808,99.36,a,1.352,0.859,16.24,12.037,1.573,1,1
AT46,7,9,2022-02-17 22:09:52+00:00,39.7726,-70.8806,45.97,a,3.224,1.056,38.723,14.793,3.053,1,1
AT46,7,19,2022-02-17 22:18:47+00:00,39.7727,-70.8802,3.68,a,NaN,1.295,NaN,18.137,NaN,4,1
AT46,8,13,2022-02-18 04:44:34+00:00,40.0906,-70.8669,28.41,a,7.634,2.005,91.691,28.08,3.808,1,1
AT46,8,22,2022-02-18 04:51:00+00:00,40.0905,-70.8658,1.88,a,10.652,2.165,127.936,30.326,4.92,1,1
AT46,9,12,2022-02-18 08:12:37+00:00,39.9514,-70.8766,37.2,a,3.814,1.145,45.813,16.035,3.332,1,1
AT46,9,16,2022-02-18 08:16:01+00:00,39.9514,-70.8761,25.46,a,8.379,2.118,100.635,29.665,3.956,1,1
AT46,9,20,2022-02-18 08:18:28+00:00,39.9513,-70.8758,7.59,a,8.349,2.008,100.282,28.129,4.157,1,1
AT46,13,6,2022-02-19 03:29:17+00:00,40.1345,-70.7819,58.25,a,1.002,0.737,12.035,10.316,1.36,1,1
AT46,13,10,2022-02-19 03:31:55+00:00,40.1344,-70.782,44.63,a,2.373,1.194,28.496,16.724,1.987,1,1
AT46,13,19,2022-02-19 03:38:33+00:00,40.1335,-70.783,7.31,a,8.017,1.94,96.286,27.167,4.133,1,1
AT46,14,15,2022-02-19 06:12:51+00:00,40.2235,-70.8875,24.97,a,8.175,1.906,98.193,26.699,4.289,1,1
AT46,14,15,2022-02-19 06:12:51+00:00,40.2235,-70.8875,24.97,b,6.628,1.392,79.603,19.491,4.763,1,1
AT46,14,21,2022-02-19 06:16:46+00:00,40.2231,-70.888,4.49,a,7.955,2.004,95.543,28.064,3.97,1,1
AT46,16,7,2022-02-19 23:41:10+00:00,40.8611,-70.8816,29.94,a,15.475,2.847,185.866,39.871,5.436,1,1
AT46,16,12,2022-02-19 23:46:39+00:00,40.8607,-70.8822,7.3,a,16.564,3.945,198.946,55.253,4.199,1,1
AT46,17,4,2022-02-20 01:19:14+00:00,41.0269,-70.8854,28.25,a,44.029,5.97,528.817,83.625,7.375,1,1
AT46,17,9,2022-02-20 01:21:42+00:00,41.0267,-70.8854,15.57,a,44.579,5.643,535.43,79.033,7.901,1,1
AT46,17,14,2022-02-20 01:23:38+00:00,41.0271,-70.8859,7.05,a,41.815,5.575,502.226,78.084,7.501,1,1
AT46,23,2,2022-02-21 11:41:00+00:00,41.324,-70.5629,12.15,a,107.203,11.157,1287.58,156.274,9.609,1,1
AT46,23,3,2022-02-21 11:43:51+00:00,41.3242,-70.5626,5.9,a,70.759,7.979,849.86,111.766,8.868,1,1
AT46,23,7,2022-02-21 11:45:55+00:00,41.3242,-70.5626,2,a,63.889,6.34,767.35,88.801,10.077,1,1
AR66B,1,4,2022-04-20 14:28:58+00:00,41.0307,-70.8825,30.34,a,17.436,2.997,209.424,41.982,5.817,1,1
AR66B,1,9,2022-04-20 14:33:33+00:00,41.0307,-70.8825,3.42,a,20.185,3.252,242.437,45.548,6.207,1,1
AR66B,2,4,2022-04-20 17:16:40+00:00,40.863,-70.8832,34.12,a,14.917,2.674,179.162,37.452,5.579,1,1
AR66B,2,13,2022-04-20 17:22:26+00:00,40.863,-70.8832,5.35,a,13.925,3.034,167.244,42.491,4.59,1,1
AR66B,3,6,2022-04-20 19:31:42+00:00,40.6967,-70.8823,34.77,a,19.975,3.005,239.911,42.089,6.647,1,1
AR66B,3,12,2022-04-20 19:36:05+00:00,40.6967,-70.8823,4.82,a,18.62,2.696,223.641,37.769,6.905,1,1
AR66B,4,8,2022-04-20 22:12:00+00:00,40.5125,-70.8822,35.09,a,16.232,3.096,194.954,43.36,5.243,1,1
AR66B,4,15,2022-04-20 22:17:15+00:00,40.5125,-70.8822,3.95,a,17.328,2.663,208.123,37.297,6.508,1,1
AR66B,6,12,2022-04-21 15:34:06+00:00,39.9398,-70.8815,80.1,a,9.322,2.087,111.963,29.225,4.468,1,1
